text_id,text,sentences,label
10001201,"Цифрова держава Повідомлення 123 від 18.04.2023 року надіслано Згодом буде створено спеціальну комісію, яка оцінить збитки. Ми сповістимо вас про наступні кроки, коли буде визначено порядок та розпочато процес компенсації Разом до перемоги! Слава Україні! А далі буде?","[""Цифрова держава Повідомлення 123 від 18.04.2023 року надіслано Згодом буде створено спеціальну комісію, яка оцінить збитки."", ""Ми сповістимо вас про наступні кроки, коли буде визначено порядок та розпочато процес компенсації Разом до перемоги!"", ""Слава Україні!"", ""А далі буде?""]",Question / Request for Help
8664,"На пл. Ринок ЦНАП м.Львова, швидке ьа якісне вирішення питань","[""На пл. Ринок ЦНАП м.Львова, швидке ьа якісне вирішення питань""]",Gratitude / Positive Feedback
10000591,"Доброго дня. При створенні заяви в Дії на пошкоджене майно (ЄВідновлення) потрібна згода другого власника квартири, мого сина. Він проживає зі мною. Він дорослий інвалід дитинства 1 групи А, ДЦП, лежачий. Йому 34 роки, він не дієздатний. Я рідна мати його являють опікуном по рішенню суда. Який мені потрібен документ і що мені робити з QR - кодом? Який документ загрузити, щоб підтвердити згоду?","[""Доброго дня."", ""При створенні заяви в Дії на пошкоджене майно (ЄВідновлення) потрібна згода другого власника квартири, мого сина."", ""Він проживає зі мною."", ""Він дорослий інвалід дитинства 1 групи А, ДЦП, лежачий."", ""Йому 34 роки, він не дієздатний."", ""Я рідна мати його являють опікуном по рішенню суда."", ""Який мені потрібен документ і що мені робити з QR - кодом?"", ""Який документ загрузити, щоб підтвердити згоду?""]",Question / Request for Help
6771,"За умови карантину рекомендую завжди дзвонити в установу куди прямуєте, а потім за результатами отриманої інформації йдете підготовлені. Я так не зробила, в результаті людина з ЦНАПу винесла мені три бланки і писати…","[""За умови карантину рекомендую завжди дзвонити в установу куди прямуєте, а потім за результатами отриманої інформації йдете підготовлені."", ""Я так не зробила, в результаті людина з ЦНАПу винесла мені три бланки і писати…""]",Suggestion / Idea
10005935,У Витягу про місце проживання невірно вказано номер будинку. Як це можливо виправити?,"[""У Витягу про місце проживання невірно вказано номер будинку."", ""Як це можливо виправити?""]",Question / Request for Help
10000504,"Скажіть, будь ласка,за знищене 100% майно ще не виплачують кошти? Дякую.","[""Скажіть, будь ласка,за знищене 100% майно ще не виплачують кошти?"", ""Дякую.""]",Question / Request for Help
17010,"Зверталася двічі щодо реєстрації прав власності . Попередньо приходила на консультацію. Спеціаліст на робочому місці 23 подивилася, сказала все ок. Ми привезли дідуся, інваліда з кардиостимулятором. І тут каже, що треба ще довідка з БТІ. І…","[""Зверталася двічі щодо реєстрації прав власності ."", ""Попередньо приходила на консультацію."", ""Спеціаліст на робочому місці 23 подивилася, сказала все ок."", ""Ми привезли дідуся, інваліда з кардиостимулятором."", ""І тут каже, що треба ще довідка з БТІ."", ""І…""]",Complaint / Dissatisfaction
10000628,"Доброго дня, спробуйте при створенні замовлення обрати оплата картою і зробіть оплату з карти єВідновлення.","[""Доброго дня, спробуйте при створенні замовлення обрати оплата картою і зробіть оплату з карти єВідновлення.""]",Suggestion / Idea
3167,"У черзі реєструвалася з вечора онлайн, прийшла заздалегідь, оскільки потрібно було сплатити штраф за прострочення подачі документів (фотографія на 25), виявилася платити не потрібно, для першого разу вони роблять попередження і просять…","[""У черзі реєструвалася з вечора онлайн, прийшла заздалегідь, оскільки потрібно було сплатити штраф за прострочення подачі документів (фотографія на 25), виявилася платити не потрібно, для першого разу вони роблять попередження і просять…""]",Neutral Comment
10005890,Як отримати кошти на відновлення будинку або квартири програмою Євідновлення,"[""Як отримати кошти на відновлення будинку або квартири програмою Євідновлення""]",Question / Request for Help
10002040,"Наталіє, якщо у людини немає можливості авторизуватись у застосунку Дія, радимо очікувати на запуск послуги офлайн.","[""Наталіє, якщо у людини немає можливості авторизуватись у застосунку Дія, радимо очікувати на запуск послуги офлайн.""]",Suggestion / Idea
10005853,"Якщо ми не встигли вступити в права після смерті родителей, заяву писали у нотаріуса, наслідників окрім мене, містер та брата немає. Потім треба було їхати до нотаріуса 25.02.22...","[""Якщо ми не встигли вступити в права після смерті родителей, заяву писали у нотаріуса, наслідників окрім мене, містер та брата немає."", ""Потім треба було їхати до нотаріуса 25.02.22...""]",Question / Request for Help
10002762,Добрий ранок. Для відшкодування пошкодження будинку у ЄВідновлення сповіщення про необхідність внесення нерухомості у Державний реєстр нерухомого майна . Які документи потрібно надати і в якому ЦНАПі це можна здійснити?,"[""Добрий ранок."", ""Для відшкодування пошкодження будинку у ЄВідновлення сповіщення про необхідність внесення нерухомості у Державний реєстр нерухомого майна ."", ""Які документи потрібно надати і в якому ЦНАПі це можна здійснити?""]",Question / Request for Help
4604,"Потрібно було вклеїти фото у паспорт. Попередньо за день зареєструвалася в електронній черзі. Приїхала за півгодини до призначеного часу, уточнила у дівчини із зали всю…","[""Потрібно було вклеїти фото у паспорт."", ""Попередньо за день зареєструвалася в електронній черзі."", ""Приїхала за півгодини до призначеного часу, уточнила у дівчини із зали всю…""]",Neutral Comment
